equippment,equipment
equivalant,equivalent
esle,else
especally,especially
especialyl,especially
espesially,especially
excellant,excellent
excercise,exercise
exchagne,exchange
exchagnes,exchanges
excitment,excitement
exhcange,exchange
exhcanges,exchanges
experiance,experience
experienc,experience
exprience,experience
exprienced,experienced
eyt,yet
facade,façade
faeture,feature
faetures,features
familair,familiar
familar,familiar
familliar,familiar
fammiliar,familiar
feild,field
feilds,fields
fianlly,finally
fidn,find
finalyl,finally
firends,friends
firts,first
follwo,follow
follwoing,following
foriegn,foreign
forwrd,forward
forwrds,forwards
foudn,found
foward,forward
fowards,forwards
freind,friend
freindly,friendly
freinds,friends
frmo,from
furneral,funeral
fwe,few
garantee,guarantee
gaurd,guard
gemeral,general
gerat,great
geting,getting
gettin,getting
gievn,given
giveing,giving
gloabl,global
goign,going
gonig,going
govenment,government
goverment,government
gruop,group
gruops,groups
grwo,grow
guidlines,guidelines
hadn;t,hadn't
haev,have
hapen,happen
hapened,happened
hapening,happening
hapens,happens
happend,happened
hasn;t,hasn't
hasnt,hasn't
haveing,having
haven;t,haven't
hda,had
he;ll,he'll
hearign,hearing
helpfull,helpful
herat,heart
here;s,here's
hge,he
hismelf,himself
hlep,help
hsa,has
hsi,his
hte,the
htere,there
htese,these
htey,they
hting,thing
htink,think
htis,this
hvae,have
hvaing,having
hwich,which
i,I
I;d,I'd
I;ll,I'll
idae,idea
idaes,ideas
identofy,identify
ihs,his
imediate,immediate
imediatly,immediately
immediatly,immediately
importent,important
importnat,important
impossable,impossible
improvemnt,improvement
improvment,improvement
includ,include
indecate,indicate
indenpendence,independence
indenpendent,independent
indepedent,independent
independance,independence
independant,independent
influance,influence
infomation,information
informatoin,information
inital,initial
instaleld,installed
insted,instead
insurence,insurance
interum,interim
isn;t,isn't
it;ll,it'll
it;s,it's
ititial,initial
itnerest,interest
itnerested,interested
itneresting,interesting
itnerests,interests
iwll,will
iwth,with
jsut,just
jugment,judgment
knowldge,knowledge
knowlege,knowledge
knwo,know
knwon,known
knwos,knows
konw,know
konwn,known
konws,knows
labratory,laboratory
learnign,learning
lenght,length
let;s,let's
levle,level
libary,library
librarry,library
librery,library
liek,like
liekd,liked
lieutenent,lieutenant
liev,live
likly,likely
lisense,license
littel,little
litttle,little
liuke,like
liveing,living
loev,love
lonly,lonely
lookign,looking
maintenence,maintenance
makeing,making
managment,management
mantain,maintain
marraige,marriage
memeber,member
merchent,merchant
mesage,message
mesages,messages
mispell,misspell
mispelling,misspelling
mispellings,misspellings
mkae,make
mkaes,makes
mkaing,making
moeny,money
morgage,mortgage
mroe,more
mysefl,myself
myu,my
naive,naïve
necassarily,necessarily
necassary,necessary
neccessarily,necessarily
neccessary,necessary
necesarily,necessarily
necesary,necessary
negotiaing,negotiating
nkow,know
nothign,nothing
nver,never
nwe,new
nwo,now
obediant,obedient
ocasion,occasion
occassion,occasion
occured,occurred
occurence,occurrence
occurrance,occurrence
ocur,occur
oeprator,operator
oging,going
ohter,other
omre,more
onyl,only
oppasite,opposite
opperation,operation
oppertunity,opportunity
opposate,opposite
opposible,opposable
opposit,opposite
oppotunities,opportunities
oppotunity,opportunity
orginization,organization
orginized,organized
otehr,other
otu,out
owrk,work
owuld,would
oxident,oxidant
papaer,paper
parliment,parliament
paymetn,payment
paymetns,payments
pciture,picture
peice,piece
peices,pieces
peolpe,people
peopel,people
performence,performance
perhasp,perhaps
perhpas,perhaps
permanant,permanent
perminent,permanent
personalyl,personally
pleasent,pleasant
poeple,people
porblem,problem
porblems,problems
porvide,provide
possable,possible
postition,position
potentialy,potentially
pregnent,pregnant
presance,presence
probelm,problem
probelms,problems
prominant,prominent
protege,protégé
protoge,protégé
psoition,position
ptogress,progress
puting,putting
pwoer,power
quater,quarter
quaters,quarters
quesion,question
quesions,questions
questioms,questions
questiosn,questions
questoin,question
quetion,question
quetions,questions
realyl,really
reccomend,recommend
reccommend,recommend
receieve,receive
recieve,receive
recieved,received
recieving,receiving
recomend,recommend
recomendation,recommendation
recomendations,recommendations
recomended,recommended
reconize,recognize
recrod,record
religous,religious
reluctent,reluctant
remeber,remember
reommend,recommend
representativs,representatives
representives,representatives
represetned,represented
represnt,represent
reserach,research
resollution,resolution
resorces,resources
respomd,respond
respomse,response
responce,response
responsability,responsibility
responsable,responsible
responsibile,responsible
responsiblity,responsibility
restaraunt,restaurant
restuarant,restaurant
reult,result
reveiw,review
reveiwing,reviewing
rumers,rumors
rwite,write
rythm,rhythm
scedule,schedule
sceduled,scheduled
seance,séance
secratary,secretary
sectino,section
seh,she
selectoin,selection
sentance,sentence
separeate,separate
seperate,separate
sercumstances,circumstances
shcool,school
she;ll,she'll
shineing,shining
shiped,shipped
shoudl,should
shoudln't,shouldn't
shouldent,shouldn't
shouldn;t,shouldn't
shouldnt,shouldn't
showinf,showing
signifacnt,significant
simalar,similar
similiar,similar
simpyl,simply
sincerly,sincerely
sitll,still
smae,same
smoe,some
soem,some
sohw,show
soical,social
somethign,something
someting,something
somewaht,somewhat
somthing,something
somtimes,sometimes
soudn,sound
soudns,sounds
speach,speech
specificaly,specifically
specificalyl,specifically
statment,statement
statments,statements
stnad,stand
stopry,story
stpo,stop
strentgh,strength
stroy,story
struggel,struggle
strugle,struggle
studnet,student
successfull,successful
successfuly,successfully
successfulyl,successfully
sucess,success
sucessfull,successful
sufficiant,sufficient
suposed,supposed
suppossed,supposed
suprise,surprise
suprised,surprised
swiming,swimming
tahn,than
taht,that
talekd,talked
talkign,talking
tath,that
tecnical,technical
teh,the
tehy,they
termoil,turmoil
tghe,the
tghis,this
thansk,thanks
thats,that's
themself,themselves
themselfs,themselves
theri,their
they;l,they'll
they;ll,they'll
they;r,they're
they;re,they're
they;v,they've
they;ve,they've
theyll,they'll
theyve,they've
thgat,that
thge,the
thier,their
thigsn,things
thna,than
thne,then
thnig,thing
thnigs,things
threatend,threatened
thsi,this
thsoe,those
thta,that
tihs,this
timne,time
tiogether,together
tje,the
tjhe,the
tkae,take
tkaes,takes
tkaing,taking
tlaking,talking
todya,today
togehter,together
tomorow,tomorrow
tongiht,tonight
tonihgt,tonight
totaly,totally
totalyl,totally
towrad,toward
traditionalyl,traditionally
transfered,transferred
truely,truly
truley,truly
tryed,tried
tthe,the
tyhat,that
tyhe,the
udnerstand,understand
understnad,understand
unliek,unlike
unpleasently,unpleasantly
untilll,until
useing,using
usualyl,usually
veyr,very
virtualyl,virtually
vis-a-vis,vis-à-vis
vrey,very
vulnerible,vulnerable
waht,what
warrent,warrant
wasnt,wasn't
watn,want
we;d,we'd
we;ll,we'll
we;re,we're
we;ve,we've
wehn,when
wern't,weren't
werre,were
what;s,what's
whcih,which
where;s,where's
wherre,where
whic,which
whihc,which
who;s,who's
who;ve,who've
whta,what
wief,wife
wierd,weird
wihch,which
wiht,with
windoes,windows
withe,with
wiull,will
wnat,want
wnated,wanted
wnats,wants
wo'nt,won't
woh,who
wohle,whole
wokr,work
won;t,won't
woudl,would
woudln't,wouldn't
wouldn;t,wouldn't
wouldnt,wouldn't
wriet,write
writting,writing
wrod,word
wroet,wrote
wroking,working
wtih,with
wuould,would
wya,way
yera,year
yeras,years
yersa,years
yoiu,you
you;d,you'd
you;re,you're
youve,you've
ytou,you
yuo,you
yuor,your
